====================     2021-02-26    ====================8ff694f  Update android binder + ashmem + lowmemorykiller  [kimocoder]
73d2bed  Merge changes  [kimocoder]
c44c7f6  bonding: fix event handling for stacked bonds  [Sabrina Dubroca]
db699a2  tpm/tpm_i2c_atmel: Return -E2BIG when the transfer is incomplete  [Jarkko Sakkinen]
0c8b82d  crypto: crypto4xx - properly set IV after de- and encrypt  [Christian Lamparter]
c5e47fa  appletalk: Fix compile regression  [Arnd Bergmann]
fecbe59  inet: update the IP ID generation algorithm to higher standards.  [Amit Klein]
d1be01b  include/linux/swap.h: use offsetof() instead of custom __swapoffset macro  [Pi-Hsun Shih]
f0f8658  lib/div64.c: off by one in shift  [Stanislaw Gruszka]
12f1c29d  appletalk: Fix use-after-free in atalk_proc_exit  [YueHaibing]
06955fc  iommu/dmar: Fix buffer overflow during PCI bus notification  [Julia Cartwright]
31273c5  ACPI / SBS: Fix GPE storm on recent MacBookPro's  [Ronald Tschalär]
8ef34c7  ARM: samsung: Limit SAMSUNG_PM_CHECK config option to non-Exynos platforms  [Bartlomiej Zolnierkiewicz]
2966352  serial: uartps: console_setup() can't be placed to init section  [Michal Simek]
874dc97  9p locks: add mount option for lock retry interval  [Dinu-Razvan Chis-Serban]
7a40d30  9p: do not trust pdu content for stat item size  [Gertjan Halkes]
5950246  rsi: improve kernel thread handling to fix kernel panic  [Siva Rebbagondla]
48f3134  fix incorrect error code mapping for OBJECTID_NOT_FOUND  [Steve French]
01285c9  iommu/vt-d: Check capability before disabling protected memory  [Lu Baolu]
4f2a56c  x86/cpu/cyrix: Use correct macros for Cyrix calls on Geode processors  [Matthew Whitehead]
0241c67  x86/hpet: Prevent potential NULL pointer dereference  [Aditya Pakki]
b7bebd4  perf tests: Fix a memory leak in test__perf_evsel__tp_sched_test()  [Changbin Du]
51a94e9  perf top: Fix error handling in cmd_top()  [Changbin Du]
a980aca  tools/power turbostat: return the exit status of a command  [David Arcari]
23e2ff1  thermal/int340x_thermal: fix mode setting  [Matthew Garrett]
58d396f  ALSA: opl3: fix mismatch between snd_opl3_drum_switch definition and declaration  [Colin Ian King]
1137694  mmc: davinci: remove extraneous __init annotation  [Arnd Bergmann]
d434d27  IB/mlx4: Fix race condition between catas error reset and aliasguid flows  [Jack Morgenstein]
739ea47  ALSA: sb8: add a check for request_region  [Kangjie Lu]
8589aec  ALSA: echoaudio: add a check for ioremap_nocache  [Kangjie Lu]
ed7e11c  ext4: report real fs size after failed resize  [Lukas Czerner]
e11b76a  perf/core: Restore mmap record type correctly  [Stephane Eranian]
c768d16  string: drop __must_check from strscpy() and restore strscpy() usages in cgroup  [Tejun Heo]
09b5b77  PCI: Add function 1 DMA alias quirk for Marvell 9170 SATA controller  [Andre Przywara]
5e39fbc  xtensa: fix return_address  [Max Filippov]
956beb8  sched/fair: Do not re-read ->h_load_next during hierarchical load calculation  [Mel Gorman]
cb6d7b3  xen: Prevent buffer overflow in privcmd ioctl  [Dan Carpenter]
4835dccf  arm64: futex: Fix FUTEX_WAKE_OP atomic ops with non-zero result value  [Will Deacon]
3bb9d6f  block: do not leak memory in bio_copy_user_iov()  [Jérôme Glisse]
e1b7481  ASoC: fsl_esai: fix channel swap issue when stream starts  [S.j. Wang]
2550201  ALSA: seq: Fix OOB-reads from strlcpy  [Zubin Mithra]
ffe13b1  ip6_tunnel: Match to ARPHRD_TUNNEL6 for dev type  [Sheena Mira-ato]
a45095e  net: ethtool: not call vzalloc for zero sized memory request  [Li RongQing]
8368aa2  netns: provide pure entropy for net_hash_mix()  [Eric Dumazet]
cd8922f  sctp: initialize _pad of sockaddr_in before copying to user memory  [Xin Long]
ebabadf9  qmi_wwan: add Olicard 600  [Bjørn Mork]
ae29622  openvswitch: fix flow actions reallocation  [Andrea Righi]
